feature_set,feature_count,model,mean_accuracy,mean_macro_f1,mean_log_loss
original_21,21,logistic_c_0.05,0.5464912280701755,0.40358232767624025,0.9718192244257723
original_21,21,logistic_c_0.25,0.5456140350877193,0.40292400589513194,0.9721596044573806
original_21,21,logistic_c_1.00,0.5456140350877193,0.4028592440903594,0.9722406924440353
original_21,21,random_forest,0.543859649122807,0.41002210380748355,0.9752532244884803
original_21,21,extra_trees,0.5421052631578948,0.39778920820604785,0.9808479593526572
original_21,21,soft_voting_ensemble,0.5482456140350876,0.40308275704254964,0.9712504791922759
original_plus_10_match,31,logistic_c_0.05,0.5456140350877193,0.40111262185371155,0.9718153539395643
original_plus_10_match,31,logistic_c_0.25,0.5464912280701754,0.4019575732690052,0.9722091160122094
original_plus_10_match,31,logistic_c_1.00,0.5473684210526315,0.40250939039087036,0.9724639236875549
original_plus_10_match,31,random_forest,0.5464912280701754,0.40854951610496376,0.9759208353740746
original_plus_10_match,31,extra_trees,0.5473684210526315,0.40309354119452606,0.9763546000114269
original_plus_10_match,31,soft_voting_ensemble,0.5499999999999999,0.4053871416336321,0.9705913320318956
original_plus_season,40,logistic_c_0.05,0.5377192982456139,0.3969023296570075,0.9736334234355694
original_plus_season,40,logistic_c_0.25,0.537719298245614,0.3987097225800824,0.9744983720809164
original_plus_season,40,logistic_c_1.00,0.5394736842105263,0.40045954539036405,0.9748380314123025
original_plus_season,40,random_forest,0.5482456140350878,0.40660622261605944,0.9729658434357651
original_plus_season,40,extra_trees,0.5508771929824562,0.4040017678653456,0.9725901835541858
original_plus_season,40,soft_voting_ensemble,0.5447368421052631,0.40143709013314627,0.96999564941575
compact_differences,17,logistic_c_0.05,0.5394736842105262,0.3956296440837414,0.970784247382004
compact_differences,17,logistic_c_0.25,0.5412280701754386,0.3997759494022551,0.9712313317603215
compact_differences,17,logistic_c_1.00,0.5412280701754386,0.3997759494022551,0.9716342846214806
compact_differences,17,random_forest,0.5412280701754385,0.4001547934802517,0.97445252591964
compact_differences,17,extra_trees,0.5491228070175439,0.40228964772003745,0.971477457680924
compact_differences,17,soft_voting_ensemble,0.5412280701754386,0.3970194966189137,0.9693132430247484
all_49,49,logistic_c_0.05,0.5429824561403509,0.40336257458872266,0.9742569417070756
all_49,49,logistic_c_0.25,0.5447368421052632,0.40476439758257143,0.9755764454635644
all_49,49,logistic_c_1.00,0.543859649122807,0.40442582636526353,0.9761050342420239
all_49,49,random_forest,0.5464912280701754,0.40277011285427466,0.9751104479327651
all_49,49,extra_trees,0.5517543859649123,0.4046741393895424,0.9732541685277804
all_49,49,soft_voting_ensemble,0.5464912280701754,0.4031690040400164,0.9710029608557734
