rank,team,championships,runner_up_finishes,top_four_finishes,top_six_finishes,relegations,average_position,average_points,average_wins,average_draws,average_losses,average_goals_for,average_goals_against,average_goal_difference,best_finish,worst_finish,title_probability,runner_up_probability,top_four_probability,top_six_probability,relegation_probability,simulations
1,Arsenal,483,336,946,984,0,1.917,83.802,25.763,6.513,5.724,81.201,33.948,47.253,1,15,0.483,0.336,0.946,0.984,0.0,1000
2,Manchester City,436,347,943,973,0,2.063,82.707,25.354,6.645,6.001,80.808,35.39,45.418,1,12,0.436,0.347,0.943,0.973,0.0,1000
3,Liverpool,15,56,297,497,19,7.304,59.895,16.333,10.896,10.771,60.589,47.246,13.343,1,20,0.015,0.056,0.297,0.497,0.019,1000
4,Brighton & Hove Albion,13,45,277,483,14,7.603,59.053,16.659,9.076,12.265,63.997,48.852,15.145,1,20,0.013,0.045,0.277,0.483,0.014,1000
5,Leeds United,13,31,188,336,51,9.127,55.115,14.951,10.262,12.787,55.601,52.319,3.282,1,20,0.013,0.031,0.188,0.336,0.051,1000
6,Manchester United,12,47,291,487,18,7.571,59.351,16.821,8.888,12.291,60.465,48.507,11.958,1,20,0.012,0.047,0.291,0.487,0.018,1000
7,Brentford,6,28,150,321,44,9.32,54.373,14.399,11.176,12.425,56.264,51.338,4.926,1,20,0.006,0.028,0.15,0.321,0.044,1000
8,Nottingham Forest,5,9,100,210,86,10.591,51.052,13.559,10.375,14.066,50.418,52.211,-1.793,1,20,0.005,0.009,0.1,0.21,0.086,1000
9,Chelsea,4,27,176,324,37,9.162,54.903,15.175,9.378,13.447,58.779,55.916,2.863,1,20,0.004,0.027,0.176,0.324,0.037,1000
10,Everton,4,15,93,189,90,11.132,49.839,12.832,11.343,13.825,48.543,51.421,-2.878,1,20,0.004,0.015,0.093,0.189,0.09,1000
11,Bournemouth,3,28,201,369,58,9.036,55.244,14.73,11.054,12.216,58.871,53.004,5.867,1,20,0.003,0.028,0.201,0.369,0.058,1000
12,Newcastle United,2,7,85,216,88,10.838,50.353,13.351,10.3,14.349,53.293,56.649,-3.356,1,20,0.002,0.007,0.085,0.216,0.088,1000
13,Hull City,1,13,114,231,78,10.465,51.77,13.897,10.079,14.024,49.534,52.634,-3.1,1,20,0.001,0.013,0.114,0.231,0.078,1000
14,Aston Villa,1,6,57,148,117,11.947,47.649,12.748,9.405,15.847,48.308,55.311,-7.003,1,20,0.001,0.006,0.057,0.148,0.117,1000
15,Sunderland,1,0,38,86,188,13.245,44.362,11.687,9.301,17.012,44.262,56.913,-12.651,1,20,0.001,0.0,0.038,0.086,0.188,1000
16,Crystal Palace,1,0,11,43,299,14.817,40.193,10.603,8.384,19.013,44.458,64.453,-19.995,1,20,0.001,0.0,0.011,0.043,0.299,1000
17,Fulham,0,3,20,50,309,14.542,40.584,10.441,9.261,18.298,45.182,59.777,-14.595,2,20,0.0,0.003,0.02,0.05,0.309,1000
18,Coventry City,0,1,6,18,486,16.171,35.673,9.102,8.367,20.531,38.014,65.283,-27.269,2,20,0.0,0.001,0.006,0.018,0.486,1000
19,Tottenham Hotspur,0,1,6,22,496,16.458,34.99,8.301,10.087,19.612,38.317,63.786,-25.469,2,20,0.0,0.001,0.006,0.022,0.496,1000
20,Ipswich Town,0,0,1,13,522,16.691,34.743,8.945,7.908,21.147,41.174,73.12,-31.946,3,20,0.0,0.0,0.001,0.013,0.522,1000
