team,championship_wins,championship_probability,runner_up_finishes,runner_up_probability,final_probability
Argentina,194,19.400000000000002,91,9.1,28.499999999999996
Spain,135,13.5,97,9.700000000000001,23.200000000000003
Brazil,71,7.1,71,7.1,14.2
France,63,6.3,39,3.9,10.2
Colombia,49,4.9,41,4.1000000000000005,9.0
Portugal,47,4.7,36,3.5999999999999996,8.3
Ecuador,47,4.7,48,4.8,9.5
Germany,38,3.8,48,4.8,8.6
Japan,34,3.4000000000000004,36,3.5999999999999996,7.000000000000001
England,34,3.4000000000000004,45,4.5,7.9
Croatia,32,3.2,29,2.9000000000000004,6.1
Belgium,32,3.2,38,3.8,7.000000000000001
Morocco,28,2.8000000000000003,31,3.1,5.8999999999999995
Uruguay,26,2.6,40,4.0,6.6000000000000005
Netherlands,24,2.4,28,2.8000000000000003,5.2
Mexico,17,1.7000000000000002,32,3.2,4.9
Turkey,17,1.7000000000000002,35,3.5000000000000004,5.2
Austria,13,1.3,12,1.2,2.5
Paraguay,13,1.3,17,1.7000000000000002,3.0
Switzerland,12,1.2,22,2.1999999999999997,3.4000000000000004
Algeria,11,1.0999999999999999,21,2.1,3.2
Senegal,10,1.0,16,1.6,2.6
Iran,9,0.8999999999999999,29,2.9000000000000004,3.8
Ivory Coast,7,0.7000000000000001,3,0.3,1.0
Norway,7,0.7000000000000001,4,0.4,1.0999999999999999
Canada,6,0.6,19,1.9,2.5
South Korea,5,0.5,13,1.3,1.7999999999999998
Panama,4,0.4,7,0.7000000000000001,1.0999999999999999
Uzbekistan,4,0.4,5,0.5,0.8999999999999999
Australia,2,0.2,6,0.6,0.8
Czech Republic,2,0.2,9,0.8999999999999999,1.0999999999999999
Cape Verde,1,0.1,0,0.0,0.1
Tunisia,1,0.1,1,0.1,0.2
Bosnia and Herzegovina,1,0.1,0,0.0,0.1
Egypt,1,0.1,7,0.7000000000000001,0.8
Scotland,1,0.1,4,0.4,0.5
Jordan,1,0.1,2,0.2,0.3
Saudi Arabia,1,0.1,2,0.2,0.3
Qatar,0,0.0,0,0.0,0.0
Sweden,0,0.0,3,0.3,0.3
Iraq,0,0.0,4,0.4,0.4
Haiti,0,0.0,0,0.0,0.0
Curacao,0,0.0,2,0.2,0.2
DR Congo,0,0.0,2,0.2,0.2
Ghana,0,0.0,1,0.1,0.1
South Africa,0,0.0,0,0.0,0.0
New Zealand,0,0.0,0,0.0,0.0
United States,0,0.0,4,0.4,0.4
